,pic_obs,rnom_obs,y_obs
1984Q1,5.4831,9.54,6.0217
1984Q2,4.8983,10.18,5.8307
1984Q3,4.9643,10.74,2.8029
1984Q4,4.029,9.13,2.0302
1985Q1,4.3569,8.47,2.8738
1985Q2,4.1923,7.71,2.4171
1985Q3,3.5369,7.34,5.1523
1985Q4,4.592,7.4,1.8452
1986Q1,4.3011,7.12,1.855
1986Q2,3.3124,6.32,0.5026
1986Q3,3.7549,5.68,2.696
1986Q4,3.8345,5.5,0.7614
1987Q1,3.2237,5.7,0.8099
1987Q2,4.7891,5.84,3.0754
1987Q3,3.7231,6.24,2.3843
1987Q4,4.579,6.07,5.8041
1988Q1,3.868,5.9,0.9727
1988Q2,4.8066,6.4,4.1882
1988Q3,4.4306,7.24,1.0844
1988Q4,4.8058,7.99,4.4118
1989Q1,4.2229,8.85,2.6142
1989Q2,4.2848,8.71,2.1127
1989Q3,3.8258,8.11,2.2487
1989Q4,4.8099,7.91,-0.018
1990Q1,5.0541,8.02,0.9561
1990Q2,5.1874,8.01,0.7484
1990Q3,5.9042,7.72,-0.9292
1990Q4,4.5658,7.21,-4.6046
1991Q1,5.7527,6.21,-2.7935
1991Q2,3.5992,5.74,1.8836
1991Q3,4.3181,5.54,0.7077
1991Q4,3.7148,4.67,0.4582
1992Q1,3.4992,4,3.483
1992Q2,3.4661,3.77,3.3289
1992Q3,3.0794,3.15,3.0336
1992Q4,3.5898,3.14,2.9587
1993Q1,3.4702,3.02,-0.2745
1993Q2,3.3533,3.03,1.6266
1993Q3,2.3651,3.07,1.0451
1993Q4,3.1318,3.13,4.1171
1994Q1,2.5912,3.32,2.9286
1994Q2,2.7439,4.1,4.5446
1994Q3,2.9824,4.61,1.4932
1994Q4,2.5381,5.44,3.3007
1995Q1,3.3584,5.92,0.4131
1995Q2,3.2483,5.78,0.0236
1995Q3,2.6466,5.53,2.316
1995Q4,2.7912,5.42,1.6826
1996Q1,2.6914,5.07,1.8826
1996Q2,2.3511,5.16,5.849
1996Q3,2.5783,5.24,2.3274
1996Q4,2.5594,5.11,3.136
1997Q1,2.3077,5.2,1.204
1997Q2,2.5309,5.19,5.0206
1997Q3,1.7295,5.18,3.9408
1997Q4,2.2702,5.23,1.9399
1998Q1,2.411,5.19,2.8609
1998Q2,2.2438,5.11,2.585
1998Q3,2.3832,4.96,4.1168
1998Q4,2.2181,4.37,5.6679
1999Q1,1.7484,4.53,2.0395
1999Q2,1.8949,4.59,2.0411
1999Q3,2.1093,4.79,3.8781
1999Q4,2.2485,5.2,5.9354
2000Q1,2.6081,5.7,-4.5247
2000Q2,2.5159,5.89,6.4883
2000Q3,2.6476,6.2,-0.9362
2000Q4,2.4116,6.2,1.1604
2001Q1,2.9031,4.95,-2.3281
2001Q2,2.4532,3.75,1.4256
2001Q3,2.7211,3.24,-2.3793
2001Q4,2.6347,1.94,0.1164
2002Q1,2.1922,1.76,2.3811
2002Q2,2.0413,1.75,1.1265
2002Q3,2.1001,1.67,0.8037
2002Q4,1.8098,1.36,-1.0993
2003Q1,1.3198,1.18,-1.1926
2003Q2,0.6915,1.06,2.1677
2003Q3,1.5881,0.95,5.1937
2003Q4,1.0319,0.93,2.2259
2004Q1,1.9184,0.93,2.4823
2004Q2,2.5213,1.1,1.4581
2004Q3,1.6964,1.51,1.7007
2004Q4,2.4283,2.04,1.941
2005Q1,2.4799,2.58,3.0021
2005Q2,1.8663,2.93,0.6474
2005Q3,1.3289,3.43,1.8395
2005Q4,2.6427,3.91,0.6849
2006Q1,2.4957,4.5,4.02
2006Q2,3.2601,4.83,0.4457
2006Q3,2.7176,5.03,-1.229
2006Q4,2.0569,5.03,1.4367
2007Q1,2.3373,5.12,-1.0947
2007Q2,1.9374,4.87,2.4711
2007Q3,2.0569,4.42,1.6544
2007Q4,2.8052,3.47,0.4401
